rank,zone_id,n_cells,lat,lon,total_events,pred_daily_viol,mean_impact_per_viol,dom_police_station,epi_raw,zone_EPI
278,294,1,12.991883843076923,77.5944244676923,65,0.12,0.534,High ground,0.06408,1.1
279,217,1,12.94222556,77.62291205333334,30,0.12,0.533,Adugodi,0.06396,1.1
280,334,1,13.02042226,77.656659015,20,0.12,0.528,Hennuru,0.06336,1.1
281,293,1,12.99045487,77.612307414,50,0.08,0.779,Pulikeshinagar(F.Town),0.06232,1.1
282,140,1,12.879465282647093,77.545386367528,29,0.09,0.69,Thalagattapura,0.062099999999999995,1.1
283,202,1,12.935322996428571,77.5179942482143,56,0.11,0.559,Byatarayanapura,0.06149,1.1
284,179,1,12.914141557478892,77.48131796024461,29,0.1,0.61,Kengeri,0.061,1.1
285,176,1,12.91198818,77.57289567000001,20,0.11,0.554,K.S. Layout,0.06094000000000001,1.1
286,183,1,12.917065086046511,77.50018434883721,43,0.11,0.55,Kengeri,0.060500000000000005,1.1
287,131,1,12.857070259403962,77.58895029966695,21,0.09,0.669,Hulimavu,0.06021,1.1
288,156,1,12.903099628571429,77.6248345047619,21,0.08,0.748,Madiwala,0.059840000000000004,1.0
289,353,1,13.045555724000002,77.54849731600001,25,0.06,0.952,Jalahalli,0.05712,1.0
290,297,1,12.993453820833333,77.5679827625,24,0.07,0.801,Sheshadripuram,0.05607000000000001,1.0
291,136,1,12.874230595454547,77.54081842272727,22,0.08,0.697,Thalagattapura,0.05576,1.0
292,278,1,12.984101999999998,77.70853850357142,28,0.08,0.692,Mahadevapura,0.05536,1.0
293,129,1,12.85555155,77.66427810357142,28,0.09,0.611,Electronic City,0.05499,1.0
294,269,1,12.979536576190478,77.65303374761905,21,0.08,0.686,Banaswadi,0.054880000000000005,1.0
